NEW_EXP,2020-08-30 10:01:55
dataset,model_name,num_epochs,learning_rate,cortex,laboratory,size,repetitions,batch_size
IMAGENETTE,ResNet50_chanspa,20,0.001,1,2,128,1,20
epoch,train_loss,valid_loss,accuracy,time
0,2.2012343406677246,159.23196411132812,0.2621656060218811,09:40
1,2.180121421813965,25.626426696777344,0.2868789732456207,09:39
2,2.0931551456451416,2.677701473236084,0.36968153715133667,09:40
3,1.816833734512329,2.2931032180786133,0.35159236192703247,09:40
4,1.8737794160842896,1.6515250205993652,0.4522292912006378,09:44
5,1.7612435817718506,1.901219129562378,0.41757962107658386,09:42
6,1.703492283821106,1.7137473821640015,0.40815287828445435,09:44
7,1.6440852880477905,1.5522698163986206,0.47745221853256226,09:45
8,1.410330891609192,1.333458423614502,0.5653502941131592,09:44
9,1.324800968170166,1.1615362167358398,0.6214012503623962,09:44
10,1.2271682024002075,1.1447597742080688,0.6453503370285034,09:43
11,1.107446551322937,1.0834012031555176,0.6606369614601135,09:46
12,1.0671029090881348,1.0823107957839966,0.6667515635490417,09:44
13,0.9466103911399841,2.0007402896881104,0.705987274646759,09:47
14,0.8781880736351013,1.1929129362106323,0.7200000286102295,09:44
15,0.8596104383468628,0.7817842960357666,0.746751606464386,09:46
16,0.7736424207687378,0.7618635892868042,0.7523567080497742,09:47
17,0.7983036041259766,0.8745025992393494,0.7584713101387024,09:45
18,0.7888942360877991,0.9742794632911682,0.7571974396705627,09:44
19,0.7429739832878113,0.886512815952301,0.7589808702468872,09:45
